staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0177926,,0.0088348,0.0177926,0.5535134,0.5535134,0.5651211,0.8507113,1.4204855,right,10,,1,1,0.7754668,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
1,2,8,1.43054,,1.4206101,1.43054,1.9237915,1.9237915,1.9237915,2.2144494,2.3082761,left,-8,,1,1,0.3799454,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
2,2,6,2.3209864,,2.3084407,2.3209864,2.8153306,2.8153306,2.8153306,3.1140186,3.1401015,right,6,,1,1,0.3183232,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
3,2,4,3.1525365,,3.1402444,3.1525365,3.6370758,3.6370758,3.6451625,3.9283791,3.9810496,left,-4,,1,1,0.3408716,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
4,2,2,3.9929952,,3.9812253,3.9929952,4.48672,4.48672,4.48672,,4.7557599,right,2,,1,1,0.2628178,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
5,2,1,4.7662538,,4.7559854,4.7662538,5.251216,5.251216,5.2599424,5.5428788,5.5448934,left,-1,,1,1,0.2866423,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
6,2,1,5.5569398,,5.5451081,5.5569398,6.0410852,6.0410852,6.0502525,6.3330392,6.3947154,right,1,,1,1,0.3456942,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
7,1,1,6.4058788,,6.394927,6.4058788,6.8965168,6.8965168,6.9073372,7.1884712,7.3646019,left,-1,,0,0,0.4647041,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
8,1,2,7.3714538,,7.3647241,7.3714538,7.8626757,7.8626757,7.8626757,8.1542814,8.349656,right,2,,1,1,0.4835191,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
9,1,2,8.3603061,,8.3498482,8.3603061,8.8513318,8.8513318,8.8619212,9.1526672,9.3214719,right,2,,1,1,0.4625061,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
10,1,2,9.3335724,,9.3216576,9.3335724,9.8171045,9.8171045,9.8255128,10.1098842,10.5130272,left,-2,,1,1,0.6931929,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
11,1,1,10.5234679,,10.5132934,10.5234679,11.0067576,11.0067576,11.0154265,,11.2674422,right,1,,1,1,0.2562603,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
12,0.5,1,11.2798969,,11.2675884,11.2798969,11.7640262,11.7640262,11.7726032,12.0557214,12.1337683,right,1,,0,0,0.366622,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
13,0.5,1.5,12.1448988,,12.1339481,12.1448988,12.6302949,12.6302949,12.6438674,12.9293622,13.1986691,right,1.5,,1,1,0.5647105,166708,1,2024-09-11_11h11.37.830,3rd session_tutorial,2024.1.5,None,2024-09-11 11h11.45.663890 +0530
